size,level,run,mode,layer,input,within,abx
32,1,0,trained,codebook,triplets,True,0.8405860662087253
32,1,0,trained,codebook,fragments,True,0.8531854707229239
32,1,0,random,codebook,triplets,True,0.7331723186475059
32,1,0,random,codebook,fragments,True,0.6975281574438877
32,1,1,trained,codebook,triplets,True,0.8553631328444063
32,1,1,trained,codebook,fragments,True,0.8566197802129537
32,1,1,random,codebook,triplets,True,0.7711507131462656
32,1,1,random,codebook,fragments,True,0.6666673663692806
32,1,2,trained,codebook,triplets,True,0.8427906089610209
32,1,2,trained,codebook,fragments,True,0.8371095409912349
32,1,2,random,codebook,triplets,True,0.7540348492279673
32,1,2,random,codebook,fragments,True,0.7570410419416234
32,2,0,trained,codebook,triplets,True,0.8051776065001721
32,2,0,trained,codebook,fragments,True,0.7553444926115294
32,2,0,random,codebook,triplets,True,0.688376291225074
32,2,0,random,codebook,fragments,True,0.7107275838472974
32,2,1,trained,codebook,triplets,True,0.8073747107466677
32,2,1,trained,codebook,fragments,True,0.7390492835465662
32,2,1,random,codebook,triplets,True,0.731206918818108
32,2,1,random,codebook,fragments,True,0.7251224650952912
32,2,2,trained,codebook,triplets,True,0.8221348641128604
32,2,2,trained,codebook,fragments,True,0.7609637074940439
32,2,2,random,codebook,triplets,True,0.7021429117508237
32,2,2,random,codebook,fragments,True,0.6938081880486852
32,3,0,trained,codebook,triplets,True,0.7204141029070804
32,3,0,trained,codebook,fragments,True,0.6760995314885834
32,3,0,random,codebook,triplets,True,0.7038285949381454
32,3,0,random,codebook,fragments,True,0.7077970198146372
32,3,1,trained,codebook,triplets,True,0.7160275710556608
32,3,1,trained,codebook,fragments,True,0.610694000898919
32,3,1,random,codebook,triplets,True,0.6725713416490571
32,3,1,random,codebook,fragments,True,0.6622002859390155
32,3,2,trained,codebook,triplets,True,0.7348828270668157
32,3,2,trained,codebook,fragments,True,0.63669828493266
32,3,2,random,codebook,triplets,True,0.6397463488100192
32,3,2,random,codebook,fragments,True,0.6492718798434076
64,1,0,trained,codebook,triplets,True,0.8429657980734759
64,1,0,trained,codebook,fragments,True,0.8341440765883947
64,1,0,random,codebook,triplets,True,0.7477192560525894
64,1,0,random,codebook,fragments,True,0.7640242522628887
64,1,1,trained,codebook,triplets,True,0.8417102697205694
64,1,1,trained,codebook,fragments,True,0.8442600633858302
64,1,1,random,codebook,triplets,True,0.7509560644567667
64,1,1,random,codebook,fragments,True,0.755257484647822
64,1,2,trained,codebook,triplets,True,0.8565177344156746
64,1,2,trained,codebook,fragments,True,0.877267075302343
64,1,2,random,codebook,triplets,True,0.7255266234666984
64,1,2,random,codebook,fragments,True,0.7577370134522664
64,2,0,trained,codebook,triplets,True,0.7923937441563846
64,2,0,trained,codebook,fragments,True,0.7628969045142329
64,2,0,random,codebook,triplets,True,0.7527954426105175
64,2,0,random,codebook,fragments,True,0.7372241862472927
64,2,1,trained,codebook,triplets,True,0.8375160479865537
64,2,1,trained,codebook,fragments,True,0.742854348323248
64,2,1,random,codebook,triplets,True,0.7582246814948126
64,2,1,random,codebook,fragments,True,0.7139721959319062
64,2,2,trained,codebook,triplets,True,0.8109716344828705
64,2,2,trained,codebook,fragments,True,0.752292650624562
64,2,2,random,codebook,triplets,True,0.7616211742897135
64,2,2,random,codebook,fragments,True,0.7126896268470501
64,3,0,trained,codebook,triplets,True,0.7348573949545393
64,3,0,trained,codebook,fragments,True,0.6443974328910502
64,3,0,random,codebook,triplets,True,0.6942474977165988
64,3,0,random,codebook,fragments,True,0.6968808980252075
64,3,1,trained,codebook,triplets,True,0.7144653666142431
64,3,1,trained,codebook,fragments,True,0.6494799634252759
64,3,1,random,codebook,triplets,True,0.7389423529030272
64,3,1,random,codebook,fragments,True,0.6828925320071153
64,3,2,trained,codebook,triplets,True,0.74528360900786
64,3,2,trained,codebook,fragments,True,0.6290152817222882
64,3,2,random,codebook,triplets,True,0.7434215634812545
64,3,2,random,codebook,fragments,True,0.7076726645163979
128,1,0,trained,codebook,triplets,True,0.8475481721080972
128,1,0,trained,codebook,fragments,True,0.8659707430377142
128,1,0,random,codebook,triplets,True,0.7872670722518569
128,1,0,random,codebook,fragments,True,0.8154599591372939
128,1,1,trained,codebook,triplets,True,0.854041187692873
128,1,1,trained,codebook,fragments,True,0.860371117834186
128,1,1,random,codebook,triplets,True,0.7549976524204053
128,1,1,random,codebook,fragments,True,0.7741806685177897
128,1,2,trained,codebook,triplets,True,0.852973308639273
128,1,2,trained,codebook,fragments,True,0.8328721055650935
128,1,2,random,codebook,triplets,True,0.7775428959651807
128,1,2,random,codebook,fragments,True,0.7849117301315076
128,2,0,trained,codebook,triplets,True,0.8125030850686281
128,2,0,trained,codebook,fragments,True,0.7423561891140016
128,2,0,random,codebook,triplets,True,0.7615642767293048
128,2,0,random,codebook,fragments,True,0.7568499286468036
128,2,1,trained,codebook,triplets,True,0.8191877982608319
128,2,1,trained,codebook,fragments,True,0.7381895796247648
128,2,1,random,codebook,triplets,True,0.7588031960410238
128,2,1,random,codebook,fragments,True,0.7097963932917636
128,2,2,trained,codebook,triplets,True,0.8003431660325386
128,2,2,trained,codebook,fragments,True,0.7601855595750271
128,2,2,random,codebook,triplets,True,0.7584864473160353
128,2,2,random,codebook,fragments,True,0.7669960342512426
128,3,0,trained,codebook,triplets,True,0.7091722552572272
128,3,0,trained,codebook,fragments,True,0.6241541904718818
128,3,0,random,codebook,triplets,True,0.7541514777703916
128,3,0,random,codebook,fragments,True,0.7256302619219965
128,3,1,trained,codebook,triplets,True,0.7393954909357531
128,3,1,trained,codebook,fragments,True,0.6557483796455358
128,3,1,random,codebook,triplets,True,0.7830632693530635
128,3,1,random,codebook,fragments,True,0.6968815490386672
128,3,2,trained,codebook,triplets,True,0.7472468532299994
128,3,2,trained,codebook,fragments,True,0.646284478536178
128,3,2,random,codebook,triplets,True,0.7063446502432925
128,3,2,random,codebook,fragments,True,0.7661931086879161
256,1,0,trained,codebook,triplets,True,0.853731190088868
256,1,0,trained,codebook,fragments,True,0.8514267709043398
256,1,0,random,codebook,triplets,True,0.7826908295096497
256,1,0,random,codebook,fragments,True,0.7746216109569254
