size,level,run,mode,layer,within,abx
32,1,0,trained,codebook,True,0.7788392496842871
32,1,0,random,codebook,True,0.6501189310845209
32,1,1,trained,codebook,True,0.8134688106317319
32,1,1,random,codebook,True,0.6561282079084045
32,1,2,trained,codebook,True,0.7474974942261927
32,1,2,random,codebook,True,0.6561282079084045
64,1,0,trained,codebook,True,0.7893894784297406
64,1,0,random,codebook,True,0.655699056847231
64,1,1,trained,codebook,True,0.7439974247558517
64,1,1,random,codebook,True,0.7112314293505773
64,1,2,trained,codebook,True,0.760272814082505
64,1,2,random,codebook,True,0.6561282079084045
128,1,0,trained,codebook,True,0.700918824638394
128,1,0,random,codebook,True,0.6561282079084045
128,1,1,trained,codebook,True,0.67334560098488
128,1,1,random,codebook,True,0.692554457090974
128,1,2,trained,codebook,True,0.753832948938286
128,1,2,random,codebook,True,0.6561282079084045
256,1,0,trained,codebook,True,0.7435511166597308
256,1,0,random,codebook,True,0.6561282079084045
256,1,1,trained,codebook,True,0.7314033115847255
256,1,1,random,codebook,True,0.6511821222975249
256,1,2,trained,codebook,True,0.7136077811510864
256,1,2,random,codebook,True,0.6561282079084045
512,1,0,trained,codebook,True,0.6975480257362279
512,1,0,random,codebook,True,0.6561282079084045
512,1,1,trained,codebook,True,0.7032650227079066
512,1,1,random,codebook,True,0.673936960225584
512,1,2,trained,codebook,True,0.6709704049591689
512,1,2,random,codebook,True,0.6479445938563448
1024,1,0,trained,codebook,True,0.6229282638224587
1024,1,0,random,codebook,True,0.6561282079084045
1024,1,1,trained,codebook,True,0.681358589348992
1024,1,1,random,codebook,True,0.6555486991594202
1024,1,2,trained,codebook,True,0.6643333791589878
1024,1,2,random,codebook,True,0.66941199323807
