epoch,mode,layer,size,level,run,reference,input,rsa,pooling
,random,mfcc,,,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,,,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn0,,,0,phoneme,complete,0.027018694049025873,mean
,trained,rnn1,,,0,phoneme,complete,0.09647612796483744,mean
,trained,rnn2,,,0,phoneme,complete,0.17465044235710306,mean
,trained,rnn3,,,0,phoneme,complete,0.2133432940844212,mean
,random,rnn0,,,0,phoneme,complete,0.004787329202818984,mean
,random,rnn1,,,0,phoneme,complete,0.006014704347966058,mean
,random,rnn2,,,0,phoneme,complete,0.006088944703443455,mean
,random,rnn3,,,0,phoneme,complete,0.005964183622276636,mean
,random,mfcc,,,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,,,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn0,,,1,phoneme,complete,0.025226917453031603,mean
,trained,rnn1,,,1,phoneme,complete,0.10494895711144081,mean
,trained,rnn2,,,1,phoneme,complete,0.19273132480033522,mean
,trained,rnn3,,,1,phoneme,complete,0.22583122223958568,mean
,random,rnn0,,,1,phoneme,complete,-0.006820172442516086,mean
,random,rnn1,,,1,phoneme,complete,-0.007255509982741185,mean
,random,rnn2,,,1,phoneme,complete,-0.007283690716651426,mean
,random,rnn3,,,1,phoneme,complete,-0.007544647105451978,mean
,random,mfcc,,,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,,,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn0,,,2,phoneme,complete,0.02851425431238131,mean
,trained,rnn1,,,2,phoneme,complete,0.10564336065864158,mean
,trained,rnn2,,,2,phoneme,complete,0.18847737921172847,mean
,trained,rnn3,,,2,phoneme,complete,0.22246228062518655,mean
,random,rnn0,,,2,phoneme,complete,0.001374636360612001,mean
,random,rnn1,,,2,phoneme,complete,0.002189371640049044,mean
,random,rnn2,,,2,phoneme,complete,0.003035487035081998,mean
,random,rnn3,,,2,phoneme,complete,0.0020939367523503624,mean
,random,mfcc,32,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,32,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,32,1,0,phoneme,complete,0.04055615773433133,mean
