,cor,run,codebook_size,model,layer,reference
0,0.19700976724628014,0,32,trained,1,phoneme_ed_rsa
1,0.16506617349161218,0,32,trained,1,biphone_ed_rsa
2,0.13891525667584523,0,32,trained,1,triphone_ed_rsa
3,-0.005620590810124913,0,32,random,1,phoneme_ed_rsa
4,-0.012374442761130264,0,32,random,1,biphone_ed_rsa
5,0.00646965000420059,0,32,random,1,triphone_ed_rsa
6,0.194664191947565,0,32,trained,2,phoneme_ed_rsa
7,0.18931688469229924,0,32,trained,2,biphone_ed_rsa
8,0.17344205819719516,0,32,trained,2,triphone_ed_rsa
9,-0.0073562009099138,0,32,random,2,phoneme_ed_rsa
10,-0.009761484394082956,0,32,random,2,biphone_ed_rsa
11,0.007301889667083227,0,32,random,2,triphone_ed_rsa
12,0.16141828131231634,0,32,trained,3,phoneme_ed_rsa
13,0.18915755460578387,0,32,trained,3,biphone_ed_rsa
14,0.18539196454621343,0,32,trained,3,triphone_ed_rsa
15,0.002298526290193185,0,32,random,3,phoneme_ed_rsa
16,-0.0031291113899667195,0,32,random,3,biphone_ed_rsa
17,0.007288823354143288,0,32,random,3,triphone_ed_rsa
18,0.2329010485585239,0,64,trained,1,phoneme_ed_rsa
19,0.2072941489295853,0,64,trained,1,biphone_ed_rsa
20,0.16825241162907667,0,64,trained,1,triphone_ed_rsa
21,0.02267737015542966,0,64,random,1,phoneme_ed_rsa
22,0.011682112036744768,0,64,random,1,biphone_ed_rsa
23,0.023601562285736805,0,64,random,1,triphone_ed_rsa
24,0.2332065186240808,0,64,trained,2,phoneme_ed_rsa
25,0.23380927731348547,0,64,trained,2,biphone_ed_rsa
26,0.21242690267688202,0,64,trained,2,triphone_ed_rsa
27,-0.004084586730658565,0,64,random,2,phoneme_ed_rsa
28,-0.005909465085746258,0,64,random,2,biphone_ed_rsa
29,0.01356829633827019,0,64,random,2,triphone_ed_rsa
30,0.1971344041938934,0,64,trained,3,phoneme_ed_rsa
31,0.23493477240167152,0,64,trained,3,biphone_ed_rsa
32,0.23192359320065078,0,64,trained,3,triphone_ed_rsa
33,0.002326430317110557,0,64,random,3,phoneme_ed_rsa
34,-0.0033063838396350654,0,64,random,3,biphone_ed_rsa
35,0.010834711851373281,0,64,random,3,triphone_ed_rsa
36,0.23957313221841983,0,128,trained,1,phoneme_ed_rsa
37,0.22293771686885527,0,128,trained,1,biphone_ed_rsa
38,0.18707354934011408,0,128,trained,1,triphone_ed_rsa
39,0.034139021586072044,0,128,random,1,phoneme_ed_rsa
40,0.02317054591711408,0,128,random,1,biphone_ed_rsa
41,0.028306222247776,0,128,random,1,triphone_ed_rsa
42,0.28271380260215306,0,128,trained,2,phoneme_ed_rsa
43,0.30524395479548916,0,128,trained,2,biphone_ed_rsa
44,0.2841392082275439,0,128,trained,2,triphone_ed_rsa
45,0.02647151135153283,0,128,random,2,phoneme_ed_rsa
46,0.01933084820613842,0,128,random,2,biphone_ed_rsa
47,0.02491734512513517,0,128,random,2,triphone_ed_rsa
48,0.22205718568260996,0,128,trained,3,phoneme_ed_rsa
49,0.2648843492806278,0,128,trained,3,biphone_ed_rsa
50,0.2623982541819785,0,128,trained,3,triphone_ed_rsa
51,0.006909819261692432,0,128,random,3,phoneme_ed_rsa
52,0.004877349374729982,0,128,random,3,biphone_ed_rsa
53,0.019710781648712657,0,128,random,3,triphone_ed_rsa
54,0.24069586844637572,0,256,trained,1,phoneme_ed_rsa
55,0.23913190851476754,0,256,trained,1,biphone_ed_rsa
56,0.20651246116736527,0,256,trained,1,triphone_ed_rsa
57,0.034169972593885024,0,256,random,1,phoneme_ed_rsa
58,0.025035939390081807,0,256,random,1,biphone_ed_rsa
59,0.02356268402352663,0,256,random,1,triphone_ed_rsa
60,0.29040084182929565,0,256,trained,2,phoneme_ed_rsa
61,0.318467988808072,0,256,trained,2,biphone_ed_rsa
62,0.29802765150911437,0,256,trained,2,triphone_ed_rsa
63,0.03090813401069537,0,256,random,2,phoneme_ed_rsa
64,0.019292488616932203,0,256,random,2,biphone_ed_rsa
