rsa,mode,layer,reference,size,level,run,input
0.1981138039983934,trained,codebook,phoneme,32,1,0,complete
0.05078686060506153,trained,codebook,word,32,1,0,complete
-0.005516128152233738,random,codebook,phoneme,32,1,0,complete
0.026128201114944363,random,codebook,word,32,1,0,complete
0.15480320163919428,trained,codebook,phoneme,32,1,0,trigram
0.05947486061922003,trained,codebook,word,32,1,0,trigram
0.04293933686827846,random,codebook,phoneme,32,1,0,trigram
0.013033024062918765,random,codebook,word,32,1,0,trigram
0.20979855856560584,trained,codebook,phoneme,32,1,1,complete
0.05723418448319273,trained,codebook,word,32,1,1,complete
-0.007378621164922932,random,codebook,phoneme,32,1,1,complete
0.029103802073119866,random,codebook,word,32,1,1,complete
0.16183925683152336,trained,codebook,phoneme,32,1,1,trigram
0.061668121962718335,trained,codebook,word,32,1,1,trigram
0.04054654578846472,random,codebook,phoneme,32,1,1,trigram
0.011927747268107221,random,codebook,word,32,1,1,trigram
0.20559548102381217,trained,codebook,phoneme,32,1,2,complete
0.05822399890204927,trained,codebook,word,32,1,2,complete
-0.013239006482788904,random,codebook,phoneme,32,1,2,complete
0.027227617795522907,random,codebook,word,32,1,2,complete
0.15871903366584134,trained,codebook,phoneme,32,1,2,trigram
0.060078340723066954,trained,codebook,word,32,1,2,trigram
0.0472316983852611,random,codebook,phoneme,32,1,2,trigram
0.013956928796280086,random,codebook,word,32,1,2,trigram
0.19948523624795111,trained,codebook,phoneme,32,2,0,complete
0.08464822910042112,trained,codebook,word,32,2,0,complete
-0.012048679919277225,random,codebook,phoneme,32,2,0,complete
0.035842078650913406,random,codebook,word,32,2,0,complete
0.10490503046081852,trained,codebook,phoneme,32,2,0,trigram
0.04963892865782827,trained,codebook,word,32,2,0,trigram
0.0036626363656814265,random,codebook,phoneme,32,2,0,trigram
9.121616005293709e-05,random,codebook,word,32,2,0,trigram
0.18183970071483507,trained,codebook,phoneme,32,2,1,complete
0.08290622085181433,trained,codebook,word,32,2,1,complete
-0.013321801089168712,random,codebook,phoneme,32,2,1,complete
0.01590373142547975,random,codebook,word,32,2,1,complete
0.0949059203640196,trained,codebook,phoneme,32,2,1,trigram
0.04670774862566587,trained,codebook,word,32,2,1,trigram
0.0026779681220958076,random,codebook,phoneme,32,2,1,trigram
0.0005375275841070506,random,codebook,word,32,2,1,trigram
0.1896258386780978,trained,codebook,phoneme,32,2,2,complete
0.08045507106256226,trained,codebook,word,32,2,2,complete
-0.011844155016708224,random,codebook,phoneme,32,2,2,complete
0.015149970571466092,random,codebook,word,32,2,2,complete
0.09793141809812482,trained,codebook,phoneme,32,2,2,trigram
0.046106726764954684,trained,codebook,word,32,2,2,trigram
0.006919573421835169,random,codebook,phoneme,32,2,2,trigram
0.0029941802681233217,random,codebook,word,32,2,2,trigram
0.1544340502983756,trained,codebook,phoneme,32,3,0,complete
0.0934938412722132,trained,codebook,word,32,3,0,complete
0.0006031334807936874,random,codebook,phoneme,32,3,0,complete
0.012049841511300109,random,codebook,word,32,3,0,complete
0.0481567291947299,trained,codebook,phoneme,32,3,0,trigram
0.027960831010515875,trained,codebook,word,32,3,0,trigram
0.03160357207068544,random,codebook,phoneme,32,3,0,trigram
0.009399559418275697,random,codebook,word,32,3,0,trigram
0.15595966475738332,trained,codebook,phoneme,32,3,1,complete
0.09724214026419005,trained,codebook,word,32,3,1,complete
-0.011904275426164516,random,codebook,phoneme,32,3,1,complete
0.020577361130547433,random,codebook,word,32,3,1,complete
0.04793772838307089,trained,codebook,phoneme,32,3,1,trigram
0.029630188829818518,trained,codebook,word,32,3,1,trigram
0.037258531030425986,random,codebook,phoneme,32,3,1,trigram
0.010375808909136678,random,codebook,word,32,3,1,trigram
0.1619354555400697,trained,codebook,phoneme,32,3,2,complete
0.10718045376157631,trained,codebook,word,32,3,2,complete
0.0,random,codebook,phoneme,32,3,2,complete
0.0,random,codebook,word,32,3,2,complete
0.055370007147755834,trained,codebook,phoneme,32,3,2,trigram
0.03341606344203358,trained,codebook,word,32,3,2,trigram
0.0036991569074495997,random,codebook,phoneme,32,3,2,trigram
3.0472165154985166e-05,random,codebook,word,32,3,2,trigram
0.23260802019038335,trained,codebook,phoneme,64,1,0,complete
0.0602612296208566,trained,codebook,word,64,1,0,complete
0.02561717869174851,random,codebook,phoneme,64,1,0,complete
0.025865631461347047,random,codebook,word,64,1,0,complete
0.16558715366344362,trained,codebook,phoneme,64,1,0,trigram
0.07101367012425058,trained,codebook,word,64,1,0,trigram
0.042876616646437805,random,codebook,phoneme,64,1,0,trigram
0.013835424978897273,random,codebook,word,64,1,0,trigram
0.23414932855001042,trained,codebook,phoneme,64,1,1,complete
0.05954954847841416,trained,codebook,word,64,1,1,complete
0.01013065982317415,random,codebook,phoneme,64,1,1,complete
0.02800179016205059,random,codebook,word,64,1,1,complete
0.16609351423196245,trained,codebook,phoneme,64,1,1,trigram
0.07291644198045105,trained,codebook,word,64,1,1,trigram
0.03797936051539856,random,codebook,phoneme,64,1,1,trigram
0.012517506231708862,random,codebook,word,64,1,1,trigram
0.22915978726405134,trained,codebook,phoneme,64,1,2,complete
0.053479681817274374,trained,codebook,word,64,1,2,complete
0.010130905099216575,random,codebook,phoneme,64,1,2,complete
0.022015635354724613,random,codebook,word,64,1,2,complete
0.1664731963855907,trained,codebook,phoneme,64,1,2,trigram
0.07174290333547959,trained,codebook,word,64,1,2,trigram
0.03993873771461267,random,codebook,phoneme,64,1,2,trigram
0.012211162838235923,random,codebook,word,64,1,2,trigram
0.22472721807021648,trained,codebook,phoneme,64,2,0,complete
0.08528501958210999,trained,codebook,word,64,2,0,complete
-0.0073540924146466395,random,codebook,phoneme,64,2,0,complete
0.02324853497279783,random,codebook,word,64,2,0,complete
0.11653799782461849,trained,codebook,phoneme,64,2,0,trigram
0.062380507918106905,trained,codebook,word,64,2,0,trigram
0.04324773345426253,random,codebook,phoneme,64,2,0,trigram
0.012362037746463406,random,codebook,word,64,2,0,trigram
0.2136067689306492,trained,codebook,phoneme,64,2,1,complete
0.09519553277246165,trained,codebook,word,64,2,1,complete
-0.008839199110780205,random,codebook,phoneme,64,2,1,complete
0.017370046259899977,random,codebook,word,64,2,1,complete
0.11083813791612943,trained,codebook,phoneme,64,2,1,trigram
0.05832118420114175,trained,codebook,word,64,2,1,trigram
0.03558217474273756,random,codebook,phoneme,64,2,1,trigram
0.010738425038590531,random,codebook,word,64,2,1,trigram
0.24679080103497128,trained,codebook,phoneme,64,2,2,complete
0.10936951997222372,trained,codebook,word,64,2,2,complete
-0.0020198823924930734,random,codebook,phoneme,64,2,2,complete
0.04553261198951919,random,codebook,word,64,2,2,complete
0.11367031472685202,trained,codebook,phoneme,64,2,2,trigram
0.06051761642642204,trained,codebook,word,64,2,2,trigram
0.04978118482730963,random,codebook,phoneme,64,2,2,trigram
0.01511710714783853,random,codebook,word,64,2,2,trigram
0.18028062833288844,trained,codebook,phoneme,64,3,0,complete
0.119898896951386,trained,codebook,word,64,3,0,complete
-0.006142766389772305,random,codebook,phoneme,64,3,0,complete
0.026418334182707604,random,codebook,word,64,3,0,complete
0.05229692297149126,trained,codebook,phoneme,64,3,0,trigram
0.031636430530021624,trained,codebook,word,64,3,0,trigram
0.023230161542306484,random,codebook,phoneme,64,3,0,trigram
0.007642928160133915,random,codebook,word,64,3,0,trigram
0.1639764792986687,trained,codebook,phoneme,64,3,1,complete
