,acc,maj_baseline,C,mode,level,run,size
0,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,32
1,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,32
2,0.22996680891417734,0.07728781412991939,1.0,random,1,0,32
3,0.22095779990516834,0.07728781412991939,1.0,trained,1,0,32
4,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,32
5,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,32
6,0.15315315315315314,0.07728781412991939,1.0,random,2,0,32
7,0.09151256519677572,0.07728781412991939,1.0,trained,2,0,32
8,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,32
9,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,32
10,0.1806543385490754,0.07728781412991939,1.0,random,3,0,32
11,0.06970128022759602,0.07728781412991939,1.0,trained,3,0,32
12,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,32
13,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,32
14,0.1853959222380275,0.07728781412991939,1.0,random,1,1,32
15,0.2029397818871503,0.07728781412991939,1.0,trained,1,1,32
16,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,32
17,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,32
18,0.22901849217638692,0.07728781412991939,1.0,random,2,1,32
19,0.08961593172119488,0.07728781412991939,1.0,trained,2,1,32
20,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,32
21,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,32
22,0.1816026552868658,0.07728781412991939,1.0,random,3,1,32
23,0.07491702228544334,0.07728781412991939,1.0,trained,3,1,32
24,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,32
25,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,32
26,0.22143195827406353,0.07728781412991939,1.0,random,1,2,32
27,0.20104314841156948,0.07728781412991939,1.0,trained,1,2,32
28,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,32
29,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,32
30,0.21621621621621623,0.07728781412991939,1.0,random,2,2,32
31,0.09815078236130868,0.07728781412991939,1.0,trained,2,2,32
32,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,32
33,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,32
34,0.07728781412991939,0.07728781412991939,1.0,random,3,2,32
35,0.07017543859649122,0.07728781412991939,1.0,trained,3,2,32
36,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,64
37,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,64
38,0.26884779516358465,0.07728781412991939,1.0,random,1,0,64
39,0.22569938359412042,0.07728781412991939,1.0,trained,1,0,64
40,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,64
41,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,64
42,0.2328117591275486,0.07728781412991939,1.0,random,2,0,64
43,0.09720246562351825,0.07728781412991939,1.0,trained,2,0,64
44,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,64
45,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,64
46,0.21621621621621623,0.07728781412991939,1.0,random,3,0,64
47,0.07728781412991939,0.07728781412991939,1.0,trained,3,0,64
48,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,64
49,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,64
50,0.25225225225225223,0.07728781412991939,1.0,random,1,1,64
51,0.21431958274063537,0.07728781412991939,1.0,trained,1,1,64
52,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,64
53,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,64
54,0.1389284020862968,0.07728781412991939,1.0,random,2,1,64
55,0.08250355618776671,0.07728781412991939,1.0,trained,2,1,64
56,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,64
57,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,64
58,0.22712185870080606,0.07728781412991939,1.0,random,3,1,64
59,0.07064959696538643,0.07728781412991939,1.0,trained,3,1,64
60,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,64
61,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,64
62,0.28402086296823137,0.07728781412991939,1.0,random,1,2,64
63,0.19677572309151256,0.07728781412991939,1.0,trained,1,2,64
64,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,64
65,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,64
66,0.22712185870080606,0.07728781412991939,1.0,random,2,2,64
67,0.09198672356567093,0.07728781412991939,1.0,trained,2,2,64
68,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,64
69,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,64
70,0.2238027501185396,0.07728781412991939,1.0,random,3,2,64
71,0.07254623044096728,0.07728781412991939,1.0,trained,3,2,64
