,acc,maj_baseline,C,mode,level,run,size
0,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,0,32
1,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,0,32
2,0.07728781412991939,0.07728781412991939,1.0,random,1,0,32
3,0.21906116642958748,0.07728781412991939,1.0,trained,1,0,32
4,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,1,32
5,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,1,32
6,0.12280701754385964,0.07728781412991939,1.0,random,1,1,32
7,0.2110004741583689,0.07728781412991939,1.0,trained,1,1,32
8,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,2,32
9,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,2,32
10,0.07728781412991939,0.07728781412991939,1.0,random,1,2,32
11,0.24845898530109056,0.07728781412991939,1.0,trained,1,2,32
12,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,0,64
13,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,0,64
14,0.07728781412991939,0.07728781412991939,1.0,random,1,0,64
15,0.20768136557610242,0.07728781412991939,1.0,trained,1,0,64
16,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,1,64
17,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,1,64
18,0.07728781412991939,0.07728781412991939,1.0,random,1,1,64
19,0.21289710763394973,0.07728781412991939,1.0,trained,1,1,64
20,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,2,64
21,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,2,64
22,0.07728781412991939,0.07728781412991939,1.0,random,1,2,64
23,0.22143195827406353,0.07728781412991939,1.0,trained,1,2,64
24,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,0,128
25,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,0,128
26,0.07728781412991939,0.07728781412991939,1.0,random,1,0,128
27,0.21147463252726412,0.07728781412991939,1.0,trained,1,0,128
28,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,1,128
29,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,1,128
30,0.07728781412991939,0.07728781412991939,1.0,random,1,1,128
31,0.20531057373162637,0.07728781412991939,1.0,trained,1,1,128
32,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,2,128
33,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,2,128
34,0.13039355144618303,0.07728781412991939,1.0,random,1,2,128
35,0.19724988146040778,0.07728781412991939,1.0,trained,1,2,128
36,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,0,256
37,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,0,256
38,0.10763394973921289,0.07728781412991939,1.0,random,1,0,256
39,0.2024656235182551,0.07728781412991939,1.0,trained,1,0,256
40,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,1,256
41,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,1,256
42,0.0948316737790422,0.07728781412991939,1.0,random,1,1,256
43,0.22238027501185395,0.07728781412991939,1.0,trained,1,1,256
44,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,2,256
45,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,2,256
46,0.19582740635372214,0.07728781412991939,1.0,random,1,2,256
47,0.24656235182550973,0.07728781412991939,1.0,trained,1,2,256
48,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,0,512
49,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,0,512
50,0.0953058321479374,0.07728781412991939,1.0,random,1,0,512
51,0.1981981981981982,0.07728781412991939,1.0,trained,1,0,512
52,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,1,512
53,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,1,512
54,0.11379800853485064,0.07728781412991939,1.0,random,1,1,512
55,0.20815552394499762,0.07728781412991939,1.0,trained,1,1,512
56,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,2,512
57,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,2,512
58,0.08534850640113797,0.07728781412991939,1.0,random,1,2,512
59,0.22522522522522523,0.07728781412991939,1.0,trained,1,2,512
60,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,0,1024
61,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,0,1024
62,0.07728781412991939,0.07728781412991939,1.0,random,1,0,1024
63,0.19962067330488384,0.07728781412991939,1.0,trained,1,0,1024
64,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,1,1024
65,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,1,1024
66,0.07728781412991939,0.07728781412991939,1.0,random,1,1,1024
67,0.19298245614035087,0.07728781412991939,1.0,trained,1,1,1024
68,0.8525367472735894,0.07728781412991939,1.0,random,mfcc,2,1024
69,0.8525367472735894,0.07728781412991939,1.0,trained,mfcc,2,1024
70,0.07728781412991939,0.07728781412991939,1.0,random,1,2,1024
71,0.21763869132290184,0.07728781412991939,1.0,trained,1,2,1024
