,acc,maj_baseline,C,mode,level,run,size
0,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,0,32
1,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,0,32
2,0.10715979137031768,0.07064959696538643,1.0,random,1,0,32
3,0.5884305357989569,0.07064959696538643,1.0,trained,1,0,32
4,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,1,32
5,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,1,32
6,0.11427216690374585,0.07064959696538643,1.0,random,1,1,32
7,0.5633001422475107,0.07064959696538643,1.0,trained,1,1,32
8,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,2,32
9,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,2,32
10,0.07064959696538643,0.07064959696538643,1.0,random,1,2,32
11,0.590801327643433,0.07064959696538643,1.0,trained,1,2,32
12,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,0,64
13,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,0,64
14,0.07064959696538643,0.07064959696538643,1.0,random,1,0,64
15,0.6510194404931247,0.07064959696538643,1.0,trained,1,0,64
16,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,1,64
17,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,1,64
18,0.07064959696538643,0.07064959696538643,1.0,random,1,1,64
19,0.6908487434803224,0.07064959696538643,1.0,trained,1,1,64
20,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,2,64
21,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,2,64
22,0.0905642484589853,0.07064959696538643,1.0,random,1,2,64
23,0.6415362731152204,0.07064959696538643,1.0,trained,1,2,64
24,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,0,128
25,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,0,128
26,0.07064959696538643,0.07064959696538643,1.0,random,1,0,128
27,0.7197724039829303,0.07064959696538643,1.0,trained,1,0,128
28,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,1,128
29,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,1,128
30,0.07064959696538643,0.07064959696538643,1.0,random,1,1,128
31,0.6951161688003793,0.07064959696538643,1.0,trained,1,1,128
32,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,2,128
33,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,2,128
34,0.14935988620199148,0.07064959696538643,1.0,random,1,2,128
35,0.716927453769559,0.07064959696538643,1.0,trained,1,2,128
36,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,0,256
37,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,0,256
38,0.13039355144618303,0.07064959696538643,1.0,random,1,0,256
39,0.7472735893788526,0.07064959696538643,1.0,trained,1,0,256
40,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,1,256
41,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,1,256
42,0.12091038406827881,0.07064959696538643,1.0,random,1,1,256
43,0.7657657657657657,0.07064959696538643,1.0,trained,1,1,256
44,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,2,256
45,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,2,256
46,0.22569938359412042,0.07064959696538643,1.0,random,1,2,256
47,0.7705073494547179,0.07064959696538643,1.0,trained,1,2,256
48,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,0,512
49,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,0,512
50,0.11759127548601232,0.07064959696538643,1.0,random,1,0,512
51,0.7724039829302988,0.07064959696538643,1.0,trained,1,0,512
52,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,1,512
53,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,1,512
54,0.13418681839734473,0.07064959696538643,1.0,random,1,1,512
55,0.757230915125652,0.07064959696538643,1.0,trained,1,1,512
56,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,2,512
57,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,2,512
58,0.12470365101944049,0.07064959696538643,1.0,random,1,2,512
59,0.7766714082503556,0.07064959696538643,1.0,trained,1,2,512
60,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,0,1024
61,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,0,1024
62,0.07064959696538643,0.07064959696538643,1.0,random,1,0,1024
63,0.7667140825035562,0.07064959696538643,1.0,trained,1,0,1024
64,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,1,1024
65,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,1,1024
66,0.07064959696538643,0.07064959696538643,1.0,random,1,1,1024
67,0.8070175438596491,0.07064959696538643,1.0,trained,1,1,1024
68,0.8463726884779517,0.07064959696538643,1.0,random,mfcc,2,1024
69,0.8463726884779517,0.07064959696538643,1.0,trained,mfcc,2,1024
70,0.07064959696538643,0.07064959696538643,1.0,random,1,2,1024
71,0.6557610241820768,0.07064959696538643,1.0,trained,1,2,1024
